ADVERTISER_NAME,advertiser_industry,SUPPLY_SOURCE,DOMAIN,APP_NAME,DEVICE_TYPE,ENVIRONMENT,LINE_ITEM_TYPE,CREATIVE_SIZE,COUNTRY,IMPRESSIONS,VIEWABLE_IMPRESSIONS,MEASURABLE_IMPRESSIONS,VIEWABILITY,CLICKS,CLICK_THROUGH_RATE,TOTAL_SPEND_USD,ECPM_USD,VCPM_USD,ECPC_USD,VIDEO_COMPLETE_VIEWS,VIDEO_COMPLETION_RATE,effective_viewability,measurability_rate,cost_per_viewable_impression,quality_score,cost_efficiency_score,brand_safety_score,brand_safety_risk,iab_category,iab_category_secondary,content_type,audience_profile
Ype 75 anos,food,rp,www.tudosaladeaula.com,,Desktop,Web,DISPLAY,970x90,BR,10277,9432,10133,0.9308,9,0.09,14.279336,1.389,1.514,1.587,0,0.0,0.9178,0.986,1.5139,0.9584,0.0294,0.9584,low,IAB8,,other,"mass_reach,parents"
Sheilas Wheels,finance,index,www.leicestermercury.co.uk,,Mobile,Web,DISPLAY,300x250,GB,10268,2920,9722,0.3003,14,0.14,11.739479,1.143,4.02,0.839,0,0.0,0.2844,0.9468,4.0204,0.6236,0.0111,0.4236,medium,IAB13,,finance,"professionals,high_income"
777 - Spain,gaming,index,www.xataka.com,,Mobile,Web,DISPLAY,300x250,ES,10266,5570,9939,0.5604,12,0.12,7.724166,0.752,1.387,0.644,0,0.0,0.5426,0.9681,1.3867,0.7642,0.0321,0.7642,low,IAB9,,gaming,"young_adults,mass_reach"
DR Power,tech,taboola,apnews.com,,Mobile,Web,DISPLAY,300x250,US,10240,1096,9917,0.1105,22,0.21,33.2,3.242,30.292,1.509,0,0.0,0.107,0.9685,30.292,0.5395,0.0015,0.3395,high,IAB19,,technology,"young_adults,tech_enthusiasts"
PL Maspex Tymbark,food,taboola,prawdziwehistorie.kobieta.pl,,Mobile,Web,DISPLAY,300x250,PL,10179,8283,9999,0.8284,26,0.26,27.55945,2.707,3.327,1.06,0,0.0,0.8137,0.9823,3.3272,0.9053,0.0134,0.9053,low,IAB8,,other,"mass_reach,parents"
PayPal,finance,adx,siviaggia.it,,Desktop,Web,DISPLAY,500x120,IT,10014,0,0,0.0,127,1.27,38.459803,3.841,0.0,0.303,0,0.0,0.0,0.0,,0.0,0.0,0.0,high,IAB13,,finance,"professionals,high_income"
Sheilas Wheels,finance,pubmatic,www.derbytelegraph.co.uk,,Mobile,Web,DISPLAY,970x250,GB,10008,9202,9782,0.9407,39,0.39,8.739512,0.873,0.95,0.224,0,0.0,0.9195,0.9774,0.9497,0.959,0.0469,0.959,low,IAB13,,finance,"professionals,high_income"
MX Sephora,beauty,adxbr,cashroadster.com,,Mobile,Web,DISPLAY,300x250,MX,9841,4500,9073,0.496,32,0.33,18.789726,1.909,4.175,0.587,0,0.0,0.4573,0.922,4.1755,0.709,0.0107,0.509,medium,IAB18,,lifestyle,"young_adults,high_income"
Danone Alpro,food,adx,prostakuchnia.pl,,Mobile,Web,DISPLAY,336x280,PL,9822,7765,9760,0.7956,46,0.47,23.838766,2.427,3.07,0.518,0,0.0,0.7906,0.9937,3.07,0.8946,0.0145,0.8946,low,IAB8,,other,"mass_reach,parents"
MX Samsung,tech,onetag,www.juegos.com,,Desktop,Web,DISPLAY,336x280,MX,9774,7696,9488,0.8111,17,0.17,6.565739,0.672,0.853,0.386,0,0.0,0.7874,0.9707,0.8531,0.8909,0.0522,0.8909,low,IAB19,,technology,"young_adults,tech_enthusiasts"
Sky Showtime,entertainment,rp,zielona.interia.pl,,Mobile,Web,DISPLAY,320x50,PL,9751,8853,9672,0.9153,13,0.13,5.815957,0.596,0.657,0.447,0,0.0,0.9079,0.9919,0.6569,0.9536,0.0678,0.9536,low,IAB1,,entertainment,"mass_reach,young_adults"
